Question,Option A,Option B,Option C,Option D,Answer
Which penetrant type offers the highest sensitivity?,Visible Type II,Fluorescent Type I,Solvent removable,Post-emulsifiable,B
What is the purpose of developer in penetrant testing?,Enhance visibility,Remove excess dye,Act as cleaning agent,Seal discontinuity,A
Which PT system allows post-emulsification?,Method A,Method B,Method C,Method D,C
Which defect can PT not detect?,Surface crack,Surface porosity,Subsurface void,Weld undercut,C
What is the recommended light intensity for visible PT inspection?,50 lux,100 lux,1000 lux,500 lux,C
Which penetrant method is best for field testing?,Water-washable,Post-emulsifiable,Solvent removable,Fluorescent,C
What type of discontinuity does PT best detect?,Subsurface void,Surface-breaking crack,Inclusion,Lack of penetration,B
Which cleaning method is best before PT?,Wire brushing,Grinding,Solvent cleaning,Sand blasting,C
"In PT, which step removes excess penetrant?",Developer,Rinsing,Emulsification,Drying,B
Which NDT method is most suitable for complex geometries?,UT,ET,PT,RT,C
Why are fluorescent dyes used in PT?,Cheaper,Easier to apply,Higher visibility under UV,For daytime testing,C
What is the main reason to use water-based developer in PT?,Low cost,Easy cleaning,Better contrast,Environmental safety,C
What is dwell time in PT?,Cleaning time,Drying time,Time for dye to enter flaws,Time for inspection,C
Which type of defect is indicated by irregular indications in PT?,Porosity,Crack,Inclusion,Lack of fusion,A
Why is pre-cleaning required in PT?,Save cost,Remove surface contaminants,Improve developer,Fast drying,B
What is the typical light intensity required for PT inspection?,500 lux,800 lux,1000 lux,1500 lux,C
Which of these is a linear indication?,Crack,Porosity,Inclusion,Lamination,A
Which PT system uses both water and emulsifier?,Type I,Type II,Post-emulsifiable,Solvent removable,C
What causes excessive background in PT?,Overwashing,Underdevelopment,Too much penetrant,Low viscosity,C
Which UV-A wavelength range is ideal for PT?,200–300 nm,315–400 nm,400–500 nm,100–200 nm,B
What is used to remove excess penetrant?,Water,Emulsifier,Cleaner,All of the above,D
Why is filter used in PT process?,Block visible light,Enhance UV,Filter dye,Increase sensitivity,B
What defect appears as cluster indications in PT?,Crack,Porosity,Inclusion,Lack of fusion,B
Which flaw is not detected by PT?,Surface crack,Weld undercut,Subsurface void,Surface pit,C
What is the color of visible dye in PT testing?,Red,Yellow,Green,Blue,A
Which method is suitable for detecting microcracks on turbine blades?,UT,MT,PT,RT,C
What is the commonly used penetrant developer for PT?,Dry powder,Oil-based,Solvent,Paste,A
What causes linear indications in PT to appear sharper?,Orientation of crack,Proper cleaning,High viscosity dye,Deep flaws,D
What is the primary advantage of PT over other methods?,High depth detection,No need for electricity,Detect surface-breaking flaws,Non-metal inspection,C
"In PT, which material condition can affect test results?",Dirty surface,Conductivity,Thickness,Heat treatment,A
