Question,Option A,Option B,Option C,Option D,Answer
Which current type is best for detecting surface cracks in MT?,AC,DC,Full-wave DC,Half-wave AC,A
Which is a non-ferromagnetic material?,Stainless steel 304,Carbon steel,Cast iron,Mild steel,A
What is the advantage of magnetic particles in dry form?,Better for subsurface,Useful for wet surfaces,Visible under daylight,No need for UV,C
What is used to measure magnetizing force?,Gauss meter,Ammeter,Lux meter,Flux meter,B
"In MT, what helps verify field strength visually?",Prods,Pie gauge,Gauss meter,Yoke,B
What is a disadvantage of dry magnetic particles?,Difficult to apply,Poor sensitivity,Messy,Not suitable for oily surfaces,D
What is the common voltage used for portable MT yoke?,110 V,12 V,230 V,24 V,C
What does a star crack in MT indicate?,Fatigue,Lamination,Shrinkage,Overheating,C
What is the main advantage of AC in MT?,Penetrates deep,Less power usage,Detects surface cracks,No background noise,C
Which tool is used in MT for checking field direction?,Pie gauge,Flux meter,Gauss meter,Yoke,A
What does HVT stand for in MT?,High voltage testing,High vacuum tube,Half value time,High viscosity technique,A
What is the purpose of demagnetization in MT?,To strengthen field,Remove residual magnetism,Prevent crack growth,Improve sensitivity,B
Which equipment is used to measure magnetic field strength?,Voltmeter,Gauss meter,Pie gauge,Ammeter,B
What is the minimum recommended megohm reading for MT yokes?,0.1,1,5,10,B
What material is NOT suitable for MT?,Mild steel,Stainless steel,Cast iron,Alloy steel,B
"In MT, when should circular magnetization be used?",Longitudinal flaws,Surface porosity,Transverse flaws,Laminations,C
Why is magnetization in MT performed in two directions?,Improve flaw orientation,Improve magnetic flux,Detect flaws in all directions,Speed up inspection,C
What kind of magnetization is used for detecting longitudinal cracks in cylindrical parts?,Circular,Longitudinal,Cross-field,Rotational,B
"In MT, what can reduce sensitivity?",Strong magnetic field,Dirty surface,Proper yoke,AC current,B
Which NDT method uses induced magnetic fields?,RT,PT,MT,VT,C
What is the effect of increasing current in MT?,Decrease detection,Increase heating,Increase sensitivity,No effect,C
What is the advantage of AC yoke in MT?,Deep penetration,Detects surface flaws,High current,Detects laminations,B
"In MT, why are pie gauges used?",Measure crack depth,Check sensitivity,Determine voltage,Align coil,B
What kind of flaws does circular magnetization detect best?,Transverse,Longitudinal,Laminations,Surface pits,A
What is used to demagnetize components in MT?,AC coil,Permanent magnet,Battery source,DC field,A
"In MT, what causes poor particle mobility?",DC field,Rusty surface,AC yoke,Clean surface,B
Which flaw is surface-breaking and sharp in MT?,Crack,Porosity,Lamination,Inclusion,A
What is the unit of magnetic field strength?,Gauss,Tesla,Ampere,Newton,A
What material is unsuitable for MT?,Mild steel,Carbon steel,Stainless steel,Alloy steel,C
What is the primary cause of arc burn indication in MT?,Poor ground,Excessive current,Dirty coil,Improper contact,D
"In MT, why is AC current used for surface flaws?",High magnetizing force,Deep penetration,Better particle mobility,Cheaper,C
Which NDT method is not suitable for composite materials?,VT,ET,UT,MT,D
