Question,Option A,Option B,Option C,Option D,Answer,Method,Level
What is the most commonly used isotope in gamma radiography of steel?,Cesium-137,Iridium-192,Cobalt-60,Americium-241,B,RT,Level 2
What is the sensitivity indicator used in RT?,Dosimeter,Radiation meter,Penetrameter,Film cassette,C,RT,Level 2
"In RT, what increases film contrast?",High kilovoltage,Long exposure,Proper film processing,Short SFD,C,RT,Level 2
What defect appears as rounded indications in RT?,Crack,Porosity,Lack of fusion,Slag inclusion,B,RT,Level 2
What does a sharp edge on RT film indicate?,High sensitivity,Lack of fusion,Unsharpness,Proper exposure,D,RT,Level 2
Why is collimator used in RT?,Magnify image,Control beam size,Increase exposure,Enhance sensitivity,B,RT,Level 2
What controls sensitivity in RT?,Film speed,Source-to-film distance,Exposure time,Source strength,B,RT,Level 2
"In RT, what does SFD stand for?",Source focus diameter,Source field dimension,Source-film distance,Scanning film detail,C,RT,Level 2
What causes scatter in radiographic images?,High energy source,Incorrect angle,Film fog,Backscatter radiation,D,RT,Level 2
Which defect is best detected by RT?,Internal void,Surface crack,Paint flake,Corrosion pit,A,RT,Level 2
What is the role of a mask in RT?,Support film,Protect eyes,Restrict beam,Store cassettes,C,RT,Level 2
Which technique improves contrast in RT?,Proper film washing,Good contact,Grid technique,Double exposure,C,RT,Level 2
What is the maximum flaw size detectable in RT?,Based on thickness,1 mm,5 mm,Unlimited,A,RT,Level 2
What affects resolution in radiographic film?,Film grain size,Source activity,Exposure time,Developer type,A,RT,Level 2
What is the purpose of shimming in RT?,Change exposure,Check sensitivity,Align source,Reduce scatter,B,RT,Level 2
Which radiation unit measures exposure?,Rem,Roentgen,Gray,Sievert,B,RT,Level 2
Which code applies to RT in boilers?,ASME Section II,API 650,ASME Section V,AWS D1.1,C,RT,Level 2
What does lack of side wall fusion look like in RT?,Dark line,Sharp edge,Feathering,Incomplete outline,A,RT,Level 2
What is a 'hot spot' in radiography?,Defect,Overexposed area,Underdeveloped region,Crack zone,B,RT,Level 2
Which discontinuity is most common in casting?,Crack,Blow hole,Lamination,Undercut,B,RT,Level 2
Why are gamma rays used in RT?,High energy,Low cost,Low penetration,Visible results,A,RT,Level 2
What is half value layer (HVL) in RT?,Thickness reducing exposure by 50%,Half voltage exposure,Half scan time,Half SFD,A,RT,Level 2
What is penetrameter used for?,Detect film fault,Ensure proper exposure,Evaluate sensitivity,Focus radiation,C,RT,Level 2
"In RT, which film type is best for high-definition imaging?",Type A,Type B,Type C,Type D,D,RT,Level 2
What is the purpose of back scatter radiation control in RT?,Improve contrast,Protect film,Avoid false images,Enhance exposure,C,RT,Level 2
What does SFD stand for in RT?,Source Film Distance,Signal Frequency Drop,Standard Field Data,Scan Field Diameter,A,RT,Level 2
Which defect appears as a dark round indication on RT film?,Slag inclusion,Blowhole,Crack,Tungsten,B,RT,Level 2
What is the effect of source-to-film distance in RT?,Higher sensitivity,Lower magnification,Better sharpness,Higher density,C,RT,Level 2
What does penetrameter verify in RT?,Image sharpness,Exposure time,IQI sensitivity,Film fog level,C,RT,Level 2
What is the main hazard in RT?,Electrocution,Radiation exposure,Burn,Dust,B,RT,Level 2
What is the purpose of a lead screen in RT?,Focus beam,Reduce scatter,Improve penetration,Enhance contrast,B,RT,Level 2
What is the function of stop bath in RT film processing?,Develop film,Stop development,Wash film,Dry film,B,RT,Level 2
Why is shielding gas not used in RT?,Not required,Costly,Inert,Explosive,A,RT,Level 2
What causes film fogging in RT?,Light leakage,High energy,Developer concentration,Low density,A,RT,Level 2
What is the use of penetrameter holes in RT?,Light control,Density measurement,Image quality check,Alignment,C,RT,Level 2
What is the risk of underexposing RT film?,Too bright image,High density,Poor contrast,Over penetration,C,RT,Level 2
What causes geometrical unsharpness in RT?,Long SFD,Film thickness,Source size,Thin material,C,RT,Level 2
What is the key requirement for radiographic interpretation?,Sharp penetrameter,Strong source,Certified interpreter,Thin film,C,RT,Level 2
What’s a benefit of radiographic testing?,Instant result,Detect internal flaws,Detect micro-cracks,Low cost,B,RT,Level 2
What is used to control radiation exposure in RT?,X-ray shutter,Collimator,Shielding,All of the above,D,RT,Level 2
