Question,Option A,Option B,Option C,Option D,Answer,Method,Level
"In ultrasonic testing, which wave travels fastest in steel?",Longitudinal wave,Shear wave,Surface wave,Lamb wave,A,UT,Level 2
Which method is most effective for internal flaws in thick steel plates?,PT,RT,UT,MT,C,UT,Level 2
"In UT, what unit is used for material velocity?",Hz,mm/Âµs,dB,MPa,B,UT,Level 2
Which wave has highest particle displacement in UT?,Shear wave,Longitudinal wave,Rayleigh wave,Lamb wave,A,UT,Level 2
Which NDT method uses acoustic impedance?,RT,VT,ET,UT,D,UT,Level 2
Which parameter affects resolution in UT?,Wavelength,Pulse duration,Frequency,Damping,C,UT,Level 2
What is the function of a backing block in UT calibration?,Support probe,Prevent reflection,Reference delay,Impedance matching,C,UT,Level 2
Which parameter most affects the depth of penetration in UT?,Wavelength,Frequency,Velocity,Damping,B,UT,Level 2
Which wave is mostly used in UT flaw detection?,Lamb wave,Surface wave,Shear wave,Love wave,C,UT,Level 2
"In UT, what type of flaw gives maximum reflection?",Inclined crack,Flat bottom hole,Porosity,Slag inclusion,B,UT,Level 2
What is the typical frequency range for UT weld inspection?,0.5–2 MHz,2–5 MHz,5–10 MHz,10–15 MHz,B,UT,Level 2
Why are dual element probes used in UT?,Measure thickness,Flaw sizing,Angle beam inspection,Surface noise reduction,D,UT,Level 2
What is the function of couplant in UT?,Reduce noise,Transmit sound,Protect surface,Increase speed,B,UT,Level 2
Which angle probe is commonly used in UT weld inspection?,30°,45°,60°,70°,B,UT,Level 2
What is acoustic impedance?,Density/velocity,Velocity × density,Wavelength × amplitude,Pressure × frequency,B,UT,Level 2
What is the role of damping in UT probes?,Increase sensitivity,Control frequency,Shorten pulse,Lengthen signal,C,UT,Level 2
What is the name of UT technique using two probes?,Immersion testing,TOFD,Phased array,Shear wave,B,UT,Level 2
Which flaw is common in rolled products?,Lamination,Crack,Porosity,Blow hole,A,UT,Level 2
What causes weak signals in UT?,High damping,Poor couplant,Crack orientation,All of the above,D,UT,Level 2
Why is a probe shoe used in UT?,Protect surface,Angle measurement,Coupling,Alignment,A,UT,Level 2
What does a DAC curve represent in UT?,Acoustic wavefront,Signal decay,Distance-Amplitude Correction,Delay-Amplitude Compensation,C,UT,Level 2
"In UT, what does “dead zone” refer to?",Missed flaws,Near surface region where flaws cannot be detected,Couplant failure,Probe error,B,UT,Level 2
"In UT, which mode is used for thickness gauging?",Shear wave,Longitudinal wave,Surface wave,Lamb wave,B,UT,Level 2
Why is a calibration block used in UT?,Size defects,Increase speed,Standardize sensitivity,Mark depth,C,UT,Level 2
Which wave has the highest velocity in UT?,Longitudinal,Shear,Surface,Lamb,A,UT,Level 2
What is a common use of TOFD in UT?,Surface crack detection,Thickness measurement,Flaw sizing,Material ID,C,UT,Level 2
What is the best method to detect lack of fusion in welds?,PT,ET,VT,UT,D,UT,Level 2
"In UT, what unit is used to express velocity?",mm/s,MHz,m/s,Hz,C,UT,Level 2
Which wave mode is most affected by surface roughness?,Shear,Longitudinal,Surface,Lamb,C,UT,Level 2
Why is UT preferred over RT for thick sections?,Faster,Safer,Deeper penetration,Easier,C,UT,Level 2
Which wave travels only along the surface of a material?,Longitudinal,Shear,Surface,Transverse,C,UT,Level 2
What is the significance of dB setting in UT?,Frequency control,Pulse duration,Amplitude sensitivity,Probe delay,C,UT,Level 2
What type of UT probe is used for thick sections?,Dual element,High frequency,Low frequency,Angle beam,C,UT,Level 2
"In UT, what does pulse-echo technique detect?",Depth only,Internal flaws,Surface flaws only,Couplant thickness,B,UT,Level 2
What wave type does phased array UT use?,Single shear,Surface wave,Multiple angle beams,Longitudinal pulse only,C,UT,Level 2
What is the function of “gate” in UT flaw detection?,Adjust thickness,Define scan area,Measure velocity,Set alarm,B,UT,Level 2
What is the maximum depth surface wave UT can penetrate?,0.5 mm,2 mm,5 mm,10 mm,C,UT,Level 2
Which flaw orientation is hardest to detect in UT?,Perpendicular to beam,Parallel to beam,Subsurface,Near surface,B,UT,Level 2
What causes 'noise' in UT inspection?,Electrical interference,Couplant errors,Rough surface,All of the above,D,UT,Level 2
Which technique improves defect orientation detection in UT?,Phased array,Immersion testing,Pulse-echo,Angle beam,D,UT,Level 2
Why is couplant viscosity important in UT?,Reduces attenuation,Prevents probe wear,Ensures good contact,All of the above,D,UT,Level 2
Which flaw can be both surface and subsurface?,Porosity,Undercut,Crack,Lack of penetration,C,UT,Level 2
What is the effect of increasing probe frequency in UT?,Greater penetration,Increased resolution,Higher velocity,Lower noise,B,UT,Level 2
"What is a ""reference block"" in UT?",Flaw simulator,Thickness checker,Sound reflector,Calibration standard,D,UT,Level 2
What is the angle of refraction in UT determined by?,Pulse amplitude,Probe frequency,Snell’s law,Velocity of shear,C,UT,Level 2
What influences flaw detectability in UT?,Beam angle,Surface finish,Frequency,All of the above,D,UT,Level 2
What is the primary function of couplant in UT?,Clean surface,Reduce noise,Transmit sound,Protect probe,C,UT,Level 2
Which wave mode is most sensitive to planar flaws in UT?,Shear,Longitudinal,Surface,Lamb,A,UT,Level 2
What is the typical angle of shear wave probe for weld testing?,30°,45°,90°,180°,B,UT,Level 2
What determines dead zone in UT?,Pulse length,Gate delay,Beam spread,Frequency,A,UT,Level 2
Which flaw appears as linear in UT testing?,Porosity,Crack,Inclusion,Fusion,B,UT,Level 2
"In UT, what is “near field” zone?",Region with uniform amplitude,Region before wave stabilizes,Dead zone,Region with low velocity,B,UT,Level 2
What’s the standard angle for testing plates with UT angle probe?,45°,60°,70°,All of the above,D,UT,Level 2
What is the typical UT probe frequency for steel thickness testing?,0.5 MHz,1 MHz,2.25 MHz,10 MHz,C,UT,Level 2
What is the effect of poor contact in UT testing?,False signals,No reading,Echo loss,All of the above,D,UT,Level 2
What is the best method for internal flaw detection in thick plates?,VT,MT,PT,UT,D,UT,Level 2
